short_name,region_code,station_id,long_name,label,lat,lon,station_type
MALP AT1,0,S01139,MALPENSA AEROPORTO T1,,45.627904,8.711085,3
Tarvisio Boscov.,0,S03015,TARVISIO BOSCOVERDE,Tarvisio,46.505956,13.608012,3
F00002,0,F00002,F00002,,44.484749,8.624268,4
F00003,0,F00003,F00003,,42.910172,13.661499,4
F00004,0,F00004,F00004,,40.583714,17.028809,4
F00005,0,F00005,F00005,,37.868349,15.15976,4
F00006,0,F00006,F00006,,37.312291,15.02243,4
F00011,0,F00011,F00011,,44.355278,9.42627,4
F00012,0,F00012,F00012,,43.963168,10.332642,4
F00013,0,F00013,F00013,,41.420075,14.018555,4
F00014,0,F00014,F00014,,41.331451,13.815308,4
F00015,0,F00015,F00015,,41.257162,13.713684,4
F00042,0,F00042,F00042,,39.990799,16.479492,4
F00043,0,F00043,F00043,,38.817241,16.285858,4
F00044,0,F00044,F00044,,43.942406,12.740021,4
F00045,0,F00045,F00045,,43.683764,13.135529,4
Taranto,0,S11465,TARANTO,Taranto,40.483727,17.224059,1
Terni,0,S07226,TERNI,Terni,42.570768,12.651091,3
Terontola,0,S06922,TERONTOLA CORTONA,,43.210263,12.007906,3
Torino P.Nuova,0,S00219,TORINO P.NUOVA,Torino,45.060969,7.67747,1
Tortona,0,S01810,TORTONA,,44.900126,8.861777,3
Trento,0,S02038,TRENTO,Trento,46.072414,11.118941,1
Treviso C.,0,S02712,TREVISO C.,Treviso,45.659608,12.24614,3
Trieste Centrale,0,S03317,TRIESTE CENTRALE,Trieste,45.657456,13.771873,1
Udine,0,S03026,UDINE,Udine,46.055791,13.242003,1
Venezia S.Lucia,0,S02593,VENEZIA SANTA LUCIA,Venezia,45.441569,12.320882,1
Ventimiglia,0,S04501,VENTIMIGLIA,,43.792561,7.610224,2
Reggio Emilia AV,0,S05254,REGGIO EMILIA AV,,44.779886,10.744171,3
F00053,0,F00053,F00053,,45.201393,8.590393,4
Vercelli,0,S00245,VERCELLI,Vercelli,45.329909,8.416028,3
Verona P.Nuova,0,S02430,VERONA PORTA NUOVA,Verona,45.428603,10.982377,1
Vibo Pizzo,0,S11789,VIBO VALENZIA PIZZO,Vibo Valentia,38.714593,16.139887,3
Vicenza,0,S02446,VICENZA,Vicenza,45.541102,11.540762,3
Sibari,0,S11811,SIBARI,,39.749863,16.456922,3
Siracusa,0,S12349,SIRACUSA,Siracusa,37.068906,15.280896,1
Sulmona,0,S08539,SULMONA,,42.060836,13.907156,3
Catanzaro,0,S11956,CATANZARO,Catanzaro,38.896222,16.599081,1
Catanzaro Lido,0,S11833,CATANZARO LIDO,,38.821788,16.612975,3
Chiasso,0,S01301,CHIASSO,,45.830736,9.03421,4
Chieti,0,S07712,CHIETI,Chieti,42.356905,14.13815,3
Chiusi C.T.,0,S06925,CHIUSI C.T.,Chiusi,43.002466,11.957893,3
Como S.Giovanni,0,S01307,COMO S. GIOVANNI,Como,45.808946,9.072331,3
Cosenza,0,S11910,COSENZA,Cosenza,39.318386,16.260955,3
Crotone,0,S11823,CROTONE,Crotone,39.0845,17.108418,1
Alessandria,0,S00470,ALESSANDRIA,Alessandria,44.909091,8.606498,3
Ancona,0,S07113,ANCONA,Ancona,43.607734,13.497665,1
Arezzo,0,S06915,AREZZO,Arezzo,43.461725,11.874189,3
Asti,0,S00462,ASTI,Asti,44.89479,8.208112,3
Modane,0,S00201,MODANE,,45.235247,6.64102,3
Bari C.le,0,S11119,BARI CENTRALE,Bari,41.11774,16.869601,4
Barletta,0,S11108,BARLETTA,,41.315227,16.278867,3
Benevento,0,S09311,BENEVENTO,Benevento,41.141901,14.769998,3
Bologna Centrale,0,S05043,BOLOGNA C.LE,Bologna,44.50626,11.342267,1
Bolzano,0,S02026,BOLZANO ,Bolzano,46.496346,11.358556,1
BRENNERO,0,S02001,BRENNERO,,47.004117,11.505711,2
Brescia,0,S01717,BRESCIA,Brescia,45.532315,10.212828,3
Brindisi,0,S11136,BRINDISI,Brindisi,40.634339,17.938978,1
